permid,ticker,cik,filing_date,n_words,ai_hits,ai_per_10k,ai_per_10k_risk,ai_per_10k_nonrisk
4295899615,CME,1156375,2022-02-25,56593.0,0.0,0.0,0.0,0.0
4295899623,ABR,1253986,2022-02-18,92675.0,0.0,0.0,0.0,0.0
4295899625,CQP,1383650,2022-02-24,61054.0,0.0,0.0,0.0,0.0
4295899630,EPM,1006655,2022-09-14,54437.0,0.0,0.0,0.0,0.0
4295899655,BTU,1064728,2022-02-18,100628.0,0.0,0.0,0.0,0.0
4295899659,INFU,1337013,2022-03-15,48165.0,0.0,0.0,0.0,0.0
4295899696,CE,1306830,2022-02-10,62504.0,0.0,0.0,0.0,0.0
4295899705,CORT,1088856,2022-02-15,42146.0,0.0,0.0,0.0,0.0
4295899717,PSIX,1137091,2022-03-31,52846.0,0.0,0.0,0.0,0.0
4295899728,BXC,1301787,2022-02-22,47655.0,0.0,0.0,0.0,0.0
4295899731,EXPE,1324424,2022-02-11,73887.0,2.0,0.271,0.0,0.271
4295899733,MDGL,1157601,2022-02-24,53436.0,0.0,0.0,0.0,0.0
4295899766,AXON,1069183,2022-02-25,57286.0,2.0,0.349,0.0,0.349
4295899786,FBIZ,1521951,2022-02-23,75487.0,0.0,0.0,0.0,0.0
4295899791,MDLZ,1103982,2022-02-04,81830.0,0.0,0.0,0.0,0.0
4295899801,ALGT,1362468,2022-03-01,44795.0,0.0,0.0,0.0,0.0
4295899813,NAGE,1386570,2022-03-14,50028.0,0.0,0.0,0.0,0.0
4295899815,BLKB,1280058,2022-03-01,63550.0,3.0,0.472,0.0,0.472
4295899817,FIS,1136893,2022-02-23,62874.0,5.0,0.795,0.0,0.795
4295899827,POR,784977,2022-02-17,69608.0,0.0,0.0,0.0,0.0
4295899837,KRG,1286043,2022-02-28,73477.0,0.0,0.0,0.0,0.0
4295899858,LKQ,1065696,2022-02-25,72664.0,0.0,0.0,0.0,0.0
4295899884,GYRE,1124105,2022-03-31,61198.0,0.0,0.0,0.0,0.0
4295899893,CYTK,1061983,2022-02-25,82708.0,0.0,0.0,0.0,0.0
4295899935,ADAM,1273685,2022-02-25,106217.0,0.0,0.0,0.0,0.0
4295899944,WMG,1319161,2022-11-22,87207.0,4.0,0.459,0.0,0.459
4295899963,EHTH,1333493,2022-03-01,76869.0,0.0,0.0,0.0,0.0
4295899966,VNDA,1347178,2022-02-24,67709.0,0.0,0.0,0.0,0.0
4295899980,AMP,820027,2022-02-25,112090.0,0.0,0.0,0.0,0.0
4295899994,DLB,1308547,2022-11-18,54457.0,0.0,0.0,0.0,0.0
4295900005,TXRH,1289460,2022-02-25,54520.0,0.0,0.0,0.0,0.0
4295900008,FRHC,924805,2022-05-31,75297.0,0.0,0.0,0.0,0.0
4295900009,NNI,1258602,2022-02-28,105886.0,0.0,0.0,0.0,0.0
4295900031,QXO,1236275,2022-03-29,41189.0,0.0,0.0,0.0,0.0
4295900037,WLK,1262823,2022-02-23,67444.0,0.0,0.0,0.0,0.0
4295900046,ARAY,1138723,2022-08-17,88452.0,14.0,1.583,0.0,1.583
4295900055,LDOS,1336920,2022-02-15,65602.0,2.0,0.305,0.0,0.305
4295900057,HRI,1364479,2022-02-10,49632.0,0.0,0.0,0.0,0.0
4295900075,WEX,1309108,2022-03-01,98470.0,3.0,0.305,0.0,0.305
4295900078,MDXG,1376339,2022-02-28,70405.0,0.0,0.0,0.0,0.0
4295900112,CMG,1058090,2022-02-11,35424.0,0.0,0.0,0.0,0.0
4295900115,INVA,1080014,2022-02-28,47329.0,0.0,0.0,0.0,0.0
4295900120,NCMI,1377630,2022-03-03,66231.0,0.0,0.0,0.0,0.0
4295900155,EFSC,1025835,2022-02-25,64371.0,0.0,0.0,0.0,0.0
4295900158,LEVI,94845,2022-01-26,83439.0,6.0,0.719,0.0,0.719
4295900188,TMUS,1283699,2022-02-11,81832.0,0.0,0.0,0.0,0.0
4295900190,ALGN,1097149,2022-02-25,61993.0,1.0,0.161,0.0,0.161
4295900244,FTK,928054,2022-03-31,40873.0,5.0,1.223,0.0,1.223
4295900253,HAFC,1109242,2022-02-28,64600.0,0.0,0.0,0.0,0.0
4295900266,SNFCA,318673,2022-03-31,65889.0,0.0,0.0,0.0,0.0
4295900267,ABG,1144980,2022-03-01,78288.0,0.0,0.0,0.0,0.0
4295900272,LSAK,1041514,2022-09-09,86892.0,0.0,0.0,0.0,0.0
4295900281,GPN,1123360,2022-02-18,65333.0,0.0,0.0,0.0,0.0
4295900326,OIS,1121484,2022-02-22,58126.0,0.0,0.0,0.0,0.0
4295900340,QVCAQ,1355096,2022-02-25,74072.0,1.0,0.135,0.0,0.174
4295900349,IPGP,1111928,2022-02-22,51631.0,0.0,0.0,0.0,0.0
4295900367,ACTG,934549,2022-03-31,59291.0,0.0,0.0,0.0,0.0
4295900424,BRKR,1109354,2022-02-28,66221.0,0.0,0.0,0.0,0.0
4295900447,ILMN,1110803,2022-02-18,55405.0,1.0,0.18,0.0,0.18
4295900449,ESPR,1434868,2022-02-22,88004.0,0.0,0.0,0.0,0.0
4295900491,EQIX,1101239,2022-02-18,87228.0,0.0,0.0,0.0,0.0
4295900576,ACR,1332551,2022-03-09,101031.0,0.0,0.0,0.0,0.0
4295900599,WW,105319,2022-03-01,68748.0,1.0,0.145,0.0,0.145
4295900677,SOCGP,92108,2022-02-25,168559.0,0.0,0.0,0.0,0.0
4295900827,TXMD,25743,2022-03-23,81733.0,0.0,0.0,0.0,0.0
4295900840,ALLY,40729,2022-02-25,140803.0,0.0,0.0,0.0,0.0
4295900904,TLS,320121,2022-03-28,60152.0,4.0,0.665,0.0,0.665
4295900914,UELMO,100826,2022-02-23,121257.0,0.0,0.0,0.0,0.0
4295900973,RCL,884887,2022-03-01,95287.0,1.0,0.105,0.0,0.105
4295900986,CRL,1100682,2022-02-16,74336.0,4.0,0.538,0.0,0.667
4295900988,UNB,706863,2022-03-24,56948.0,0.0,0.0,0.0,0.0
4295901001,BBT,1108134,2022-03-01,81735.0,3.0,0.367,0.0,0.367
4295901003,INO,1055726,2022-03-01,84291.0,0.0,0.0,0.0,0.0
4295901004,ATEC,1350653,2022-03-02,58466.0,0.0,0.0,0.0,0.0
4295901021,DOX,1062579,,,,,,
4295901033,DHC,1075415,2022-02-24,113959.0,0.0,0.0,0.0,0.0
4295901040,BLX,890541,,,,,,
4295901065,CNK,1385280,2022-02-25,73595.0,0.0,0.0,0.0,0.0
4295901180,SWBI,1092796,2022-06-23,51655.0,0.0,0.0,0.0,0.0
4295901232,MFIN,1000209,2022-03-14,68300.0,0.0,0.0,0.0,0.0
4295901413,EPD,1061219,2022-02-28,120787.0,0.0,0.0,0.0,0.0
4295901450,TTMI,1116942,2022-03-01,59361.0,0.0,0.0,0.0,0.0
4295901474,AWHL,926617,2022-03-31,43890.0,9.0,2.051,0.0,2.051
4295901501,ITGR,1114483,2022-02-22,60801.0,0.0,0.0,0.0,0.0
4295901506,TPR,1116132,2022-08-18,63379.0,0.0,0.0,0.0,0.0
4295901508,EVC,1109116,2022-03-16,94026.0,5.0,0.532,0.0,0.532
4295901511,PFIS,1056943,2022-03-16,85490.0,0.0,0.0,0.0,0.0
4295901514,OSUR,1116463,2022-03-01,68105.0,0.0,0.0,0.0,0.0
4295901526,EA,712515,2022-05-25,52944.0,1.0,0.189,0.0,0.189
4295901596,PLPC,80035,2022-03-04,38232.0,0.0,0.0,0.0,0.0
4295901616,BFC,1746109,2022-03-16,74466.0,0.0,0.0,0.0,0.0
